"integration_name","integration_company","integration_type","integration_url","integration_logo","integration_logo_url","integration_purpose","integration_description","image_integration_homepage","image_integration_homepage_url","integration_seo","integration_privacy_email"
"Cloze","Cloze, Inc.","Zapier","https://www.cloze.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db0496897006c00152213de/thumb/clozelogo800x420px.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db0496897006c00152213de/original/clozelogo800x420px.png","relationship management","Cloze is like a personal assistant for your professional relationships that is always prompting you at the right moment, and remembering what you don’t. It’s the no-work way to see everything about your contacts in one place. Email, phone calls, meetings, notes, follow-ups and social.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db049538860d800150a0b5c/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db049538860d800150a0b5c/original/screenshot.png","Use Cloze for your relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","privacy@cloze.com"
"Salesflare","Salesflare Bvba","Zapier","https://salesflare.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db04a0737442b0016ff56d8/thumb/thumb_984_0x200_0_0_auto.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db04a0737442b0016ff56d8/original/thumb_984_0x200_0_0_auto.png","customer relationship management","Salesflare is an intelligent CRM startups and small businesses love to use. It's a zero-input sales pipeline tool that thinks and works for its user, not the other way around.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db04a0b9359d30015496859/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db04a0b9359d30015496859/original/screenshot.png","Use Salesflare for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","privacy@salesflare.com"
"MOCO","","Zapier","https://www.mocoapp.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db04afd8860d800150a0c0e/thumb/mocologo2xc8dc3be152909e3c125dbd0c61e468fa478e5946d0def952ea62786b7a410b3c.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db04afd8860d800150a0c0e/original/mocologo2xc8dc3be152909e3c125dbd0c61e468fa478e5946d0def952ea62786b7a410b3c.png","customer relationship management","MOCO (MObile COmpany) is a lean cloud software made for small medium-sized agency and service businesses. Including time tracking, billing, resource planning, sales-funnel and CRM.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db04add7850e10015317027/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db04add7850e10015317027/original/screenshot.png","Use MOCO for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","support@mocospace.com"
"SugarCRM","SugarCRM Inc.","Zapier","https://www.sugarcrm.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db04cb0799477001544c5b4/thumb/sugarcrmlogo.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db04cb0799477001544c5b4/original/sugarcrmlogo.png","customer relationship management","Manage your sales, marketing, and customer support better with SugarCRM's online CRM software.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db04c99a3b4e10015b025bd/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db04c99a3b4e10015b025bd/original/screenshot.png","Use SugarCRM for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","sales@sugarcrm.com"
"noCRM.io","","Zapier","https://youdontneedacrm.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db04d2d19ee2e0015557e4d/thumb/nocrm400x400twitter.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db04d2d19ee2e0015557e4d/original/nocrm400x400twitter.png","customer relationship management","noCRM.io helps you to track and close deals without wasting time filling out forms. Boost productivity and manage your sales cycle from end-to-end","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db04d35799477001544c5f1/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db04d35799477001544c5f1/original/screenshot.png","Use noCRM.io for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","support@youdontneedacrm.com"
"Teamleader","Teamleader NV","Zapier","https://www.teamleader.eu/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db04e4da67e16001873a9c0/thumb/tl_logo_default_rgb_3.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db04e4da67e16001873a9c0/original/tl_logo_default_rgb_3.png","customer relationship management","Teamleader incorporates CRM, project management and invoicing into one simple and intelligent tool that helps businesses work smarter.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db04e5537442b0016ff58be/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db04e5537442b0016ff58be/original/screenshot.png","Use Teamleader for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","support@teamleader.eu"
"PipelineDeals","PipelineDeals, Inc.","Zapier","https://www.pipelinedeals.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db04f9737442b0016ff5990/thumb/pipelinedealslogotransparent850x250.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db04f9737442b0016ff5990/original/pipelinedealslogotransparent850x250.png","customer relationship management","Simple and useful CRM software in the cloud. Sell more today with sales tracking software. Our CRM software will help organize, track, and manage your deals, leads, and contacts.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db04fa0dbbce00015afddca/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db04fa0dbbce00015afddca/original/screenshot.png","Use PipelineDeals for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","customercare@pipelinedeals.com"
"Bullhorn CRM","Bullhorn, Inc.","Zapier","https://www.bullhorn.com/crm/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db05063fbfa8100157bbc0b/thumb/i4zo63ac2j5z.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db05063fbfa8100157bbc0b/original/i4zo63ac2j5z.png","customer relationship management","Bullhorn provides cloud-based CRM solutions for companies in service-based industries. Its data capture and customer insight technology puts the most up-to-date and powerful information at users' fingertips to give them everything they need to win customers and keep them happy.<br /><br />","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db05073a67e16001873aaf2/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db05073a67e16001873aaf2/original/screenshot.png","Use Bullhorn CRM for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","privacy@bullhorn.com"
"Leadfeeder","Leadfeeder Inc.","Zapier","https://www.leadfeeder.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db0521f975fe4001554e603/thumb/b1fd9c4b30745f65_400x400ar.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db0521f975fe4001554e603/original/b1fd9c4b30745f65_400x400ar.png","web analytics","Leadfeeder helps you to find sales leads by showing which companies are visiting your site and what they’re interested in.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db052269ed4230015b3048a/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db052269ed4230015b3048a/original/screenshot.png","Use Leadfeeder for your web analytics? LegalSite integrates directly so you can be GDPR/privacy compliant!","privacy@leadfeeder.com"
"Agendor","","Zapier","https://www.agendor.com.br/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db052ae37442b0016ff5b1a/thumb/agendor.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db052ae37442b0016ff5b1a/original/agendor.png","sales improvement","Agendor is a sales improvement platform with web and mobile version designed for Brazilian companies with long sales cycles.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db052aa9a12840016f79fc9/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db052aa9a12840016f79fc9/original/screenshot.png","Use Agendor for sales improvement? LegalSite integrates directly so you can be GDPR/privacy compliant!",""
"LeadOwl","LeadOwl, LLC","Zapier","https://leadowl.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db258a46cf7d700151f499e/thumb/iconblack.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db258a46cf7d700151f499e/original/iconblack.png","customer relationship management","LeadOwl is a smart phone & web app that allows you and your team to connect funnels, get reminders, and follow up with prospects instantly.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db258adc1737e0019b9faa2/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db258adc1737e0019b9faa2/original/screenshot.png","Use LeadOwl for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","support@leadowl.com"
"Thryv","Thryv, Inc.","Zapier","https://www.thryv.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db259c48a2ee30015b03279/thumb/thryv.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db259c48a2ee30015b03279/original/thryv.png","business management","Thryv is an all-in-one management software built for small business. It integrates essential business functions like payments, marketing, and CRM.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db259c97dec2f00153314ae/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db259c97dec2f00153314ae/original/screenshot.png","Use Thryv for your business management? LegalSite integrates directly so you can be GDPR/privacy compliant!",""
"Autotask","Autotask Corporation","Zapier","https://www.autotask.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db25aef1745d10015226c0a/thumb/logoautotask_0.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db25aef1745d10015226c0a/original/logoautotask_0.png","business management","Autotask provides an IT business management solution that combines service desk, CRM, projects, time and expense, billing and more.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db25af44d03ee00150ccb66/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db25af44d03ee00150ccb66/original/screenshot.png","Use Autotask for your business management? LegalSite integrates directly so you can be GDPR/privacy compliant!","privacy@datto.com"
"Nimble","Nimble","Zapier","https://www.nimble.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db25b7b40001000195861c8/thumb/nimblelogo_bluesmall400x400.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db25b7b40001000195861c8/original/nimblelogo_bluesmall400x400.png","customer relationship management","Social CRM Simplified. With Nimble’s social CRM, easily manage all your contacts, communications, activities and sales in one single place.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db25b818c5c7d00152bfb98/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db25b818c5c7d00152bfb98/original/screenshot.png","Use Nimble for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","privacy@nimble.com"
"Hatchbuck","Hatchbuck, Inc.","Zapier","https://www.hatchbuck.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db25cbbacedbd001595ac89/thumb/hbklogoorangestackedknockout1.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db25cbbacedbd001595ac89/original/hbklogoorangestackedknockout1.png","sales and marketing","Keep tabs on your contacts, automatically follow up on them, and track your marketing with smart insights in Hatchbuck's simple CRM.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db25cdb1e7a5b00155e4dc5/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db25cdb1e7a5b00155e4dc5/original/screenshot.png","Use Hatchbuck for sales and marketing? LegalSite integrates directly so you can be GDPR/privacy compliant!","webmaster@hatchbuck.com"
"Vtiger CRM","Vtiger","Zapier","https://www.vtiger.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db25dec1745d10015226cc9/thumb/vtigercrm_logo.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db25dec1745d10015226cc9/original/vtigercrm_logo.png","customer relationship management","Vtiger CRM enables salespersons​ and support staff do more through an easy but powerful interface. With built-in solutions that range from email marketing to activity and project management and beyond, Vtiger CRM provides an integrated solution to drive business growth.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db25e0d4eaeaa001507230b/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db25e0d4eaeaa001507230b/original/screenshot.png","Use Vtiger CRM for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","legal@vtiger.com"
"OnePageCRM","OnePageCRM","Zapier","https://www.onepagecrm.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db25f4f7dec2f0015331629/thumb/onepagecrm_dark_logo_transparent_300dpi.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db25f4f7dec2f0015331629/original/onepagecrm_dark_logo_transparent_300dpi.png","customer relationship management","OnePageCRM converts the complexity of CRM into a simple to-do list. Built using GTD (Getting Things Done) productivity principles, its streamlined approach to sales helps you convert leads to customers, reach targets and grow your business fast. OnePageCRM strives to offer a product that is as easy to use as email and helps your company achieve zero admin.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db25f5573de890015b4de6f/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db25f5573de890015b4de6f/original/screenshot.png","Use OnePageCRM for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","support@onepagecrm.com"
"JobNimbus","JobNimbus","Zapier","https://www.jobnimbus.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db2604493136c0018057bc5/thumb/jnlogo_500px.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db2604493136c0018057bc5/original/jnlogo_500px.png","project management","JobNimbus CRM + Project Management for the service industry.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db260566cf7d700151f4bbe/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db260566cf7d700151f4bbe/original/screenshot.png","Use JobNimbus for your project management? LegalSite integrates directly so you can be GDPR/privacy compliant!","support@jobnimbus.com"
"Salesmate","Salesmate","Zapier","https://www.salesmate.io/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db261674000100019586391/thumb/salesmate.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db261674000100019586391/original/salesmate.png","sales management","Salesmate is an All-in-one Sales Management, Automation, and Acceleration Software for Teams of All Sizes & Shapes.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db2615e8a2ee30015b034af/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db2615e8a2ee30015b034af/original/screenshot.png","Use Salesmate for your sales management? LegalSite integrates directly so you can be GDPR/privacy compliant!","privacy@salesmate.io"
"WhatConverts","WhatConverts","Zapier","https://www.whatconverts.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db2621b236f58001576d12e/thumb/whatconvertslogo.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db2621b236f58001576d12e/original/whatconvertslogo.png","marketing clarity","WhatConverts tracks what marketing channels generate conversions from phone calls, web forms, chat, and more.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db2623c3a59ef0015a0386e/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db2623c3a59ef0015a0386e/original/screenshot.png","Use WhatConverts for marketing clarity? LegalSite integrates directly so you can be GDPR/privacy compliant!","support@whatconverts.com"
"Client Dispute Manager","Client Dispute Manager","Zapier","https://www.clientdisputemanager.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db318571745d1001522cd21/thumb/download.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db318571745d1001522cd21/original/download.png","customer relationship management","Client Dispute Manager is an online Credit Repair Business Software.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db3188d89c2dd00165eb703/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db3188d89c2dd00165eb703/original/screenshot.png","Use Client Dispute Manager for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","support@clientdisputemanager.zendesk.com"
"Act!","Swiftpage ACT! LLC","Zapier","https://www.act.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db319628a2ee30015b0945c/thumb/act.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db319628a2ee30015b0945c/original/act.png","business relationship management","Collaborate with your team to stay up-to-date on the latest contacts and automate best practice sales processes.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db319783a59ef0015a097e1/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db319783a59ef0015a097e1/original/screenshot.png","Use Act! for your business relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","customercare@swiftpage.com"
"Sellsy","Sellsy","Zapier","https://go.sellsy.com/en/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db31aab1e7a5b00155eb0a8/thumb/sellsy_new_300.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db31aab1e7a5b00155eb0a8/original/sellsy_new_300.png","customer relationship management","Sellsy is a single tool that tracks all your customer cycles.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db31aa24d03ee00150d2d37/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db31aa24d03ee00150d2d37/original/screenshot.png","Use Sellsy for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","dpo@sellsy.com"
"Affinity","Affinity","Zapier","https://www.affinity.co/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db31b8e73de890015b53fa4/thumb/2163096b43884ee781a35a2b24e2d1751516317149643.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db31b8e73de890015b53fa4/original/2163096b43884ee781a35a2b24e2d1751516317149643.png","relationship management","Affinity is a collective intelligence CRM, helping you keep track of the people and organizations in your network.","","","Use Affinity for your relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","support@affinity.co"
"GreenRope","GreenRope","Zapier","https://www.greenrope.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db5b7250f232d0015b0da83/thumb/greenropelogo.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db5b7250f232d0015b0da83/original/greenropelogo.png","customer relationship management","Small business marketing software providing powerful and easy to use CRM, email marketing, and social media integration.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db5b7198a86520015effc5b/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db5b7198a86520015effc5b/original/screenshot.png","Use GreenRope for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","support@greenrope.com"
"Bmby","Bmby","Zapier","http://www.en.bmby.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db5b80bfe1da10015df1975/thumb/8450e28e0bb891f3bbf3a0b4ef70dd70.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db5b80bfe1da10015df1975/original/8450e28e0bb891f3bbf3a0b4ef70dd70.png","marketing management","Bmby is an all-inclusive system for managing all the marketing, sales, customer relations, and customer service.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db5b812a702810015faf7be/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db5b812a702810015faf7be/original/screenshot.png","Use Bmby for your marketing management? LegalSite integrates directly so you can be GDPR/privacy compliant!","support@bmby.online"
"Moskit","Moskit","Zapier","https://www.moskitcrm.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db5b90bf0cc5700199b8477/thumb/fe39d19bad5543ad0535e96f8155d84c.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db5b90bf0cc5700199b8477/original/fe39d19bad5543ad0535e96f8155d84c.png","customer relationship management","Moskit CRM works hard for our customers to achieve new goals and have impactful results with contact management, deals and opportunities.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db5b91089100300152f6725/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db5b91089100300152f6725/original/screenshot.png","Use Moskit for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!",""
"Prospect.io","Prospect","Zapier","https://prospect.io/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db5b9f8fe1da10015df1a13/thumb/prospect.io1559230893logo.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db5b9f8fe1da10015df1a13/original/prospect.io1559230893logo.png","sales","Prospect.io is a Sales Automation Platform. We enable modern sales teams to capture prospect information and run cold email campaigns.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db5b9dcc9126f0015e7769b/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db5b9dcc9126f0015e7769b/original/screenshot.png","Use Prospect.io for your sales? LegalSite integrates directly so you can be GDPR/privacy compliant!","support@prospect.io"
"NetHunt CRM","NetHunt","Zapier","https://nethunt.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db5ba88fe1da10015df1a39/thumb/nethunt.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db5ba88fe1da10015df1a39/original/nethunt.png","customer relationship management","NetHunt CRM is a customer relationship management system for Gmail and Google Apps.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db5ba8d9d32ac0015081fd0/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5db5ba8d9d32ac0015081fd0/original/screenshot.png","Use NetHunt CRM for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","privacy@maketecheasier.com"
